graph name, algorithm, score, time
LFR_N5000_ad5_mc50_mu0.5_i26, label propagation, 3.203349547001118e-16, 1.2444730539999997
LFR_N5000_ad5_mc50_mu0.5_i26, infomap, 0.9233598957597421, 0.7287470270000007
LFR_N5000_ad5_mc50_mu0.5_i26, louvain, 0.7718742537822549, 1.6252131920000004
LFR_N5000_ad5_mc50_mu0.5_i26, leiden, 0.6910785689766271, 0.806776482000001
LFR_N1000000_ad5_mc50_mu0.5_i9, label propagation, 0.9693388327271756, 1316.96190476
LFR_N1000000_ad5_mc50_mu0.5_i9, infomap, 0.9703335418604895, 387.49016622
LFR_N1000000_ad5_mc50_mu0.5_i9, louvain, 0.5652305886230322, 1574.608338257
LFR_N1000000_ad5_mc50_mu0.5_i9, leiden, 0.6764100627916452, 305.1456928040002
LFR_N100_ad5_mc50_mu0.5_i8, label propagation, 8.593328188740102e-17, 2.9050298359998123
LFR_N100_ad5_mc50_mu0.5_i8, infomap, 8.593328188740102e-17, 0.013147278999895207
LFR_N100_ad5_mc50_mu0.5_i8, louvain, 0.063141118208297, 0.022190986000168778
LFR_N100_ad5_mc50_mu0.5_i8, leiden, 0.05108417201289622, 0.013625500999751239
LFR_N50000_ad5_mc50_mu0.5_i12, label propagation, 0.9465583496975607, 34.8019459799998
LFR_N50000_ad5_mc50_mu0.5_i12, infomap, 0.9605553552552889, 11.754200804999982
LFR_N50000_ad5_mc50_mu0.5_i12, louvain, 0.724082409331318, 35.160843515000124
LFR_N50000_ad5_mc50_mu0.5_i12, leiden, 0.6747007639709108, 9.341568307000216
LFR_N50000_ad5_mc50_mu0.5_i4, label propagation, 0.9507153591814866, 34.69869968099965
LFR_N50000_ad5_mc50_mu0.5_i4, infomap, 0.9636996741834576, 11.392442875000143
LFR_N50000_ad5_mc50_mu0.5_i4, louvain, 0.7252390721067491, 41.56627822500013
LFR_N50000_ad5_mc50_mu0.5_i4, leiden, 0.687484268121002, 8.909373072000108
LFR_N50000_ad5_mc50_mu0.5_i13, label propagation, 0.949391454660657, 31.864059713999723
LFR_N50000_ad5_mc50_mu0.5_i13, infomap, 0.9604355826235301, 11.991391963000297
LFR_N50000_ad5_mc50_mu0.5_i13, louvain, 0.7263952385860907, 35.34608676300013
LFR_N50000_ad5_mc50_mu0.5_i13, leiden, 0.6845163928047158, 9.700955266000165
LFR_N1000_ad5_mc50_mu0.5_i14, label propagation, 0.0, 0.2891477739999573
